Start,End,Date Text,Main Country,Secondary Country,Latitude,Longitude,Basis,,,
2010,2010,2010,Iraq,,34.3685,41.0946,Casualty,,,
2010,2010,2010,Iraq,,33.2919,44.0656,Casualty,,,
2010,2015,2010-2015,Palestine,Israel,32.0107,35.1902,Weapon,,,
2011,2011,2011,Libya,,30.4119,19.5698,Casualty,,,
2011,2011,2011,Libya,,26.3351,17.2283,Casualty,,,
2011,2011,2011,Palestine,Israel,32.2375,35.4036,Casualty,,,
2011,2011,2011,Palestine,Israel,32.0853,35.3301,Casualty,,,
2011,2011,2011,Yemen,,15.3483,44.2064,Casualty,,,
2011,2012,2011-2012,Syria,,36,37,Trigger,,,
2012,2012,2012,Egypt,,26.0587,29.2576,Trigger,,,
2012,2012,2012,Egypt,,22.33,31.6,Trigger,,,
2012,2012,2012,Egypt,,29.3085,30.8428,Trigger,,,
2012,2012,2012,Iraq,,36.34,43.13,Casualty,,,
2012,2012,2012,Libya,,32.8764,13.1875,Weapon,,,
2012,2012,2012,Syria,,36.2167,37.1667,Casualty,,,
2012,2012,2012,Syria,,36.3814,38.1833,Casualty,,,
2012,2012,2012,Tunisia,,33.9167,8.1286,Trigger,,,
2012,2014,2012-2014,Morocco,,31.369,-5.79029,"Trigger, Casualty, Weapon",,,
2013,2013,2013,Algeria,,36.1842,5.40085,Trigger,,,
2013,2013,2013,Egypt,,31.0149,33.0054,"Trigger, Casualty",,,
2013,2013,2013,Egypt,,11.218305,35.09411,Casualty,,,
2013,2013,2013,Iraq,,33.7733,45.1495,Casualty,,,
2013,2013,2013,Jordan,,32.606,37.5857,Trigger,,,
2013,2013,2013,Libya,,32.8104,13.1517,Weapon,,,
2013,2013,2013,Libya,,32.8125,13.1544,Casualty,,,
2013,2013,2013,Palestine,Israel,31.6898,34.5942,Casualty,,,
2013,2013,2013,Yemen,,13.58,44.0217,Casualty,,,
2013,2013,2013,Yemen,,16.5305,43.2868,Trigger,,,
2014,2014,2014,Egypt,,30.5105,31.3455,Casualty,,,
2014,2014,2014,Iraq,,35.2995,44.3284,Casualty,,,
2014,2014,2014,Iraq,,33.2232,43.6793,Casualty,,,
2014,2014,2014,Iraq,,33.3085,43.7724,"Weapon, Casualty",,,
2014,2014,2014,Iraq,,33.3086,43.7724,"Weapon, Casualty",,,
2014,2014,2014,Iraq,,34.2069,42.355,Casualty,,,
