Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,Others of concern,Total,Change
2010,Algeria,DZA,Egypt,EGY,5,5,0,10,
2011,Algeria,DZA,Egypt,EGY,5,5,0,10,0
2012,Algeria,DZA,Egypt,EGY,5,5,0,10,0
2013,Algeria,DZA,Egypt,EGY,5,5,0,10,0
2014,Algeria,DZA,Egypt,EGY,5,0,0,5,-5
2015,Algeria,DZA,Egypt,EGY,0,5,0,5,0
2014,Algeria,DZA,Iraq,IRQ,0,7,0,7,
2013,Algeria,DZA,Jordan,JOR,0,5,0,5,
2014,Algeria,DZA,Jordan,JOR,0,5,0,5,0
2015,Algeria,DZA,Jordan,JOR,0,5,0,5,0
2016,Algeria,DZA,Jordan,JOR,0,7,0,7,2
2017,Algeria,DZA,Jordan,JOR,5,7,0,12,5
2018,Algeria,DZA,Jordan,JOR,5,8,0,13,1
2019,Algeria,DZA,Jordan,JOR,0,7,0,7,-6
2020,Algeria,DZA,Jordan,JOR,0,6,0,6,-1
2021,Algeria,DZA,Jordan,JOR,0,5,0,5,-1
2022,Algeria,DZA,Jordan,JOR,0,5,0,5,0
2010,Algeria,DZA,Lebanon,LBN,5,0,0,5,
2012,Algeria,DZA,Lebanon,LBN,5,0,0,5,0
2013,Algeria,DZA,Lebanon,LBN,0,0,10,10,5
2014,Algeria,DZA,Lebanon,LBN,0,0,12,12,2
2015,Algeria,DZA,Lebanon,LBN,0,0,12,12,0
2016,Algeria,DZA,Lebanon,LBN,0,0,7,7,-5
2017,Algeria,DZA,Lebanon,LBN,0,5,7,12,5
2018,Algeria,DZA,Lebanon,LBN,0,0,11,11,-1
2019,Algeria,DZA,Lebanon,LBN,0,6,9,15,4
2020,Algeria,DZA,Lebanon,LBN,6,7,9,22,7
2021,Algeria,DZA,Lebanon,LBN,6,6,10,22,0
2022,Algeria,DZA,Lebanon,LBN,5,6,11,22,0
2010,Algeria,DZA,Libya,LBY,6,0,0,6,
