,Origin,Year,Total
0,Algeria,2010,77
1,Algeria,2011,68
2,Algeria,2012,68
3,Algeria,2013,77
4,Algeria,2014,88
5,Algeria,2015,81
6,Algeria,2016,72
7,Algeria,2017,64
8,Algeria,2018,73
9,Algeria,2019,68
10,Algeria,2020,86
11,Algeria,2021,83
12,Algeria,2022,81
13,Egypt,2010,223
14,Egypt,2011,373
15,Egypt,2012,414
16,Egypt,2013,469
17,Egypt,2014,634
18,Egypt,2015,710
19,Egypt,2016,858
20,Egypt,2017,1066
21,Egypt,2018,1278
22,Egypt,2019,1294
23,Egypt,2020,1309
24,Egypt,2021,1412
25,Egypt,2022,1530
26,Iraq,2010,1476993
27,Iraq,2011,1229138
28,Iraq,2012,560054
29,Iraq,2013,226852
30,Iraq,2014,222566
31,Iraq,2015,111785
32,Iraq,2016,140241
33,Iraq,2017,146973
34,Iraq,2018,144723
35,Iraq,2019,151337
36,Iraq,2020,144594
37,Iraq,2021,139753
38,Iraq,2022,135543
39,Jordan,2010,131
40,Jordan,2011,130
41,Jordan,2012,157
42,Jordan,2013,275
43,Jordan,2014,290
44,Jordan,2015,289
45,Jordan,2016,305
46,Jordan,2017,229
47,Jordan,2018,1588
48,Jordan,2019,2150
49,Jordan,2020,1045
50,Jordan,2021,1084
51,Jordan,2022,1441
52,Lebanon,2010,33
53,Lebanon,2011,37
54,Lebanon,2012,84
55,Lebanon,2013,114
56,Lebanon,2014,223
57,Lebanon,2015,255
58,Lebanon,2016,282
59,Lebanon,2017,184
60,Lebanon,2018,219
61,Lebanon,2019,5221
62,Lebanon,2020,4980
63,Lebanon,2021,11952
64,Lebanon,2022,14789
65,Libya,2010,26
66,Libya,2011,1150
67,Libya,2012,87
68,Libya,2013,73
69,Libya,2014,168
70,Libya,2015,263
71,Libya,2016,308
72,Libya,2017,325
73,Libya,2018,377
74,Libya,2019,402
75,Libya,2020,542
76,Libya,2021,568
77,Libya,2022,549
78,Morocco,2010,15
79,Morocco,2011,23
80,Morocco,2012,21
81,Morocco,2013,51
82,Morocco,2014,36
83,Morocco,2015,50
84,Morocco,2016,34
85,Morocco,2017,44
86,Morocco,2018,53
87,Morocco,2019,54
88,Morocco,2020,53
89,Morocco,2021,73
90,Morocco,2022,66
91,Palestine,2010,88840
92,Palestine,2011,89102
93,Palestine,2012,89526
94,Palestine,2013,93221
95,Palestine,2014,93107
96,Palestine,2015,92161
97,Palestine,2016,91093
98,Palestine,2017,91767
99,Palestine,2018,91305
100,Palestine,2019,85219
101,Palestine,2020,84440
102,Palestine,2021,83042
103,Palestine,2022,82849
104,Saudi Arabia,2010,10
105,Saudi Arabia,2011,23
106,Saudi Arabia,2012,31
107,Saudi Arabia,2013,34
108,Saudi Arabia,2014,48
109,Saudi Arabia,2015,45
110,Saudi Arabia,2016,81
111,Saudi Arabia,2017,65
112,Saudi Arabia,2018,76
113,Saudi Arabia,2019,104
114,Saudi Arabia,2020,93
115,Saudi Arabia,2021,75
116,Saudi Arabia,2022,74
117,Syria,2010,2108
118,Syria,2011,10152
119,Syria,2012,449262
120,Syria,2013,1803405
121,Syria,2014,2174313
122,Syria,2015,2087613
123,Syria,2016,2036841
124,Syria,2017,2058534
125,Syria,2018,2056234
126,Syria,2019,1986283
127,Syria,2020,1949790
128,Syria,2021,1955225
129,Syria,2022,1966289
130,Tunisia,2010,60
131,Tunisia,2011,48
132,Tunisia,2012,55
133,Tunisia,2013,70
134,Tunisia,2014,83
135,Tunisia,2015,85
136,Tunisia,2016,80
137,Tunisia,2017,73
138,Tunisia,2018,63
139,Tunisia,2019,65
140,Tunisia,2020,70
141,Tunisia,2021,68
142,Tunisia,2022,65
143,Yemen,2010,400
144,Yemen,2011,599
145,Yemen,2012,703
146,Yemen,2013,689
147,Yemen,2014,909
148,Yemen,2015,5385
149,Yemen,2016,9330
150,Yemen,2017,15324
151,Yemen,2018,24584
152,Yemen,2019,25913
153,Yemen,2020,26418
154,Yemen,2021,26015
155,Yemen,2022,27201
