Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total,Change
2010,State of Palestine,PSE,Jordan,JOR,1942431,
2010,State of Palestine,PSE,Lebanon,LBN,430078,
2010,State of Palestine,PSE,State of Palestine,PSE,1841769,
2010,State of Palestine,PSE,Syrian Arab Rep.,SYR,476801,
2011,State of Palestine,PSE,Jordan,JOR,1979580,37149
2011,State of Palestine,PSE,Lebanon,LBN,436154,6076
2011,State of Palestine,PSE,State of Palestine,PSE,1895043,53274
2011,State of Palestine,PSE,Syrian Arab Rep.,SYR,486946,10145
2012,State of Palestine,PSE,Jordan,JOR,2034641,55061
2012,State of Palestine,PSE,Lebanon,LBN,441543,5389
2012,State of Palestine,PSE,State of Palestine,PSE,1944544,49501
2012,State of Palestine,PSE,Syrian Arab Rep.,SYR,499189,12243
2013,State of Palestine,PSE,Jordan,JOR,2070973,36332
2013,State of Palestine,PSE,Lebanon,LBN,447328,5785
2013,State of Palestine,PSE,State of Palestine,PSE,1994493,49949
2013,State of Palestine,PSE,Syrian Arab Rep.,SYR,517255,18066
2014,State of Palestine,PSE,Jordan,JOR,2117361,46388
2014,State of Palestine,PSE,Lebanon,LBN,452669,5341
2014,State of Palestine,PSE,State of Palestine,PSE,2051096,56603
2014,State of Palestine,PSE,Syrian Arab Rep.,SYR,528616,11361
2015,State of Palestine,PSE,Jordan,JOR,2144233,26872
2015,State of Palestine,PSE,Lebanon,LBN,458369,5700
2015,State of Palestine,PSE,State of Palestine,PSE,2104001,52905
2015,State of Palestine,PSE,Syrian Arab Rep.,SYR,534654,6038
2016,State of Palestine,PSE,Jordan,JOR,2175491,31258
2016,State of Palestine,PSE,Lebanon,LBN,463664,5295
2016,State of Palestine,PSE,State of Palestine,PSE,2158274,54273
2016,State of Palestine,PSE,Syrian Arab Rep.,SYR,543014,8360
2017,State of Palestine,PSE,Jordan,JOR,2206736,31245
2017,State of Palestine,PSE,Lebanon,LBN,469555,5891
2017,State of Palestine,PSE,State of Palestine,PSE,2214783,56509
2017,State of Palestine,PSE,Syrian Arab Rep.,SYR,551873,8859
2018,State of Palestine,PSE,Jordan,JOR,2242579,35843
2018,State of Palestine,PSE,Lebanon,LBN,475075,5520
2018,State of Palestine,PSE,State of Palestine,PSE,2267747,52964
2018,State of Palestine,PSE,Syrian Arab Rep.,SYR,560139,8266
2019,State of Palestine,PSE,Jordan,JOR,2272411,29832
2019,State of Palestine,PSE,Lebanon,LBN,476033,958
2019,State of Palestine,PSE,State of Palestine,PSE,2319073,51326
2019,State of Palestine,PSE,Syrian Arab Rep.,SYR,562312,2173
2020,State of Palestine,PSE,Jordan,JOR,2307011,34600
2020,State of Palestine,PSE,Lebanon,LBN,479537,3504
2020,State of Palestine,PSE,State of Palestine,PSE,2348243,29170
2020,State of Palestine,PSE,Syrian Arab Rep.,SYR,568730,6418
2021,State of Palestine,PSE,Jordan,JOR,2334789,27778
2021,State of Palestine,PSE,Lebanon,LBN,482676,3139
2021,State of Palestine,PSE,State of Palestine,PSE,2400208,51965
2021,State of Palestine,PSE,Syrian Arab Rep.,SYR,575234,6504
2022,State of Palestine,PSE,Jordan,JOR,2348091,13302
2022,State of Palestine,PSE,Lebanon,LBN,484752,2076
2022,State of Palestine,PSE,State of Palestine,PSE,2424735,24527
2022,State of Palestine,PSE,Syrian Arab Rep.,SYR,578023,2789
