Year,Country,Origin,Asylum,Conflicts
2010,Algeria,77,94044,0
2011,Algeria,68,94085,0
2012,Algeria,68,94370,0
2013,Algeria,77,95322,1
2014,Algeria,88,98571,0
2015,Algeria,81,100427,0
2016,Algeria,72,99586,0
2017,Algeria,64,100143,4
2018,Algeria,73,101939,1
2019,Algeria,68,98239,0
2020,Algeria,86,97129,1
2021,Algeria,83,97167,0
2022,Algeria,81,97938,0
2010,Egypt,223,77244,0
2011,Egypt,373,77879,0
2012,Egypt,414,90070,3
2013,Egypt,469,209170,2
2014,Egypt,634,215727,1
2015,Egypt,710,196256,2
2016,Egypt,858,196193,0
2017,Egypt,1066,207973,1
2018,Egypt,1278,218241,0
2019,Egypt,1294,215203,0
2020,Egypt,1309,216722,0
2021,Egypt,1412,223502,1
2022,Egypt,1530,231321,0
2010,Iraq,1476993,12025,2
2011,Iraq,1229138,13275,0
2012,Iraq,560054,76268,1
2013,Iraq,226852,224092,1
2014,Iraq,222566,244865,13
2015,Iraq,111785,254099,7
2016,Iraq,140241,241515,1
2017,Iraq,146973,255373,4
2018,Iraq,144723,260978,7
2019,Iraq,151337,254202,3
2020,Iraq,144594,250610,0
2021,Iraq,139753,263835,2
2022,Iraq,135543,272176,0
2010,Jordan,131,451995,0
2011,Jordan,130,454695,0
2012,Jordan,157,304186,0
2013,Jordan,275,643555,1
2014,Jordan,290,668468,0
2015,Jordan,289,684732,0
2016,Jordan,305,716146,0
2017,Jordan,229,729423,1
2018,Jordan,1588,761394,0
2019,Jordan,2150,739799,1
2020,Jordan,1045,745912,0
2021,Jordan,1084,754043,0
2022,Jordan,1441,756489,0
2010,Lebanon,33,8602,0
2011,Lebanon,37,14682,0
2012,Lebanon,84,134856,0
2013,Lebanon,114,861314,0
2014,Lebanon,223,1164966,0
2015,Lebanon,255,1085105,0
2016,Lebanon,282,1028572,0
2017,Lebanon,184,1015901,0
2018,Lebanon,219,966712,0
2019,Lebanon,5221,932603,0
2020,Lebanon,4980,884557,1
2021,Lebanon,11952,865015,1
2022,Lebanon,14789,858407,0
2010,Libya,26,6170,0
2011,Libya,1150,5972,2
2012,Libya,87,10022,1
2013,Libya,73,24695,2
2014,Libya,168,27121,1
2015,Libya,263,27169,1
2016,Libya,308,28525,1
2017,Libya,325,32278,0
2018,Libya,377,32959,4
2019,Libya,402,23421,2
2020,Libya,542,19381,3
2021,Libya,568,15804,2
2022,Libya,549,15447,0
2010,Morocco,15,208,0
2011,Morocco,23,210,0
2012,Morocco,21,1066,1
2013,Morocco,51,1038,1
2014,Morocco,36,823,1
2015,Morocco,50,3315,0
2016,Morocco,34,4051,0
2017,Morocco,44,3801,1
2018,Morocco,53,4678,0
2019,Morocco,54,4954,1
2020,Morocco,53,6013,0
2021,Morocco,73,6748,0
2022,Morocco,66,7026,0
2010,Palestine,88840,,1
2011,Palestine,89102,,3
2012,Palestine,89526,,1
2013,Palestine,93221,,2
2014,Palestine,93107,,3
2015,Palestine,92161,,1
2016,Palestine,91093,,0
2017,Palestine,91767,,1
2018,Palestine,91305,,1
2019,Palestine,85219,,3
2020,Palestine,84440,,2
2021,Palestine,83042,,23
2022,Palestine,82849,,1
2010,Saudi Arabia,10,137,0
2011,Saudi Arabia,23,144,0
2012,Saudi Arabia,31,146,0
2013,Saudi Arabia,34,128,0
2014,Saudi Arabia,48,132,0
2015,Saudi Arabia,45,77,0
2016,Saudi Arabia,81,101,0
2017,Saudi Arabia,65,137,0
2018,Saudi Arabia,76,2323,0
2019,Saudi Arabia,104,2533,1
2020,Saudi Arabia,93,9119,0
2021,Saudi Arabia,75,11846,0
2022,Saudi Arabia,74,12770,0
2010,Syria,2108,1001051,0
2011,Syria,10152,751409,1
2012,Syria,449262,472740,3
2013,Syria,1803405,147654,0
2014,Syria,2174313,151268,3
2015,Syria,2087613,25952,3
2016,Syria,2036841,42085,6
2017,Syria,2058534,45668,5
2018,Syria,2056234,42348,4
2019,Syria,1986283,56416,4
2020,Syria,1949790,52045,3
2021,Syria,1955225,49727,2
2022,Syria,1966289,47032,1
2010,Tunisia,60,48,0
2011,Tunisia,48,1459,0
2012,Tunisia,55,255,1
2013,Tunisia,70,295,0
2014,Tunisia,83,650,0
2015,Tunisia,85,581,0
2016,Tunisia,80,588,1
2017,Tunisia,73,675,1
2018,Tunisia,63,1057,0
2019,Tunisia,65,1572,2
2020,Tunisia,70,2376,1
2021,Tunisia,68,2962,0
2022,Tunisia,65,3111,0
2010,Yemen,400,5341,0
2011,Yemen,599,4750,1
2012,Yemen,703,4280,0
2013,Yemen,689,5947,2
2014,Yemen,909,7486,0
2015,Yemen,5385,7859,23
2016,Yemen,9330,8001,33
2017,Yemen,15324,7992,27
2018,Yemen,24584,8125,45
2019,Yemen,25913,8347,8
2020,Yemen,26418,8415,1
2021,Yemen,26015,7110,10
2022,Yemen,27201,7163,1
