Country Name,Country Code,Year,Total,Change
Algeria,DZA,2010,94141,5
Algeria,DZA,2011,94145,4
Algeria,DZA,2012,94130,-15
Algeria,DZA,2013,94142,12
Algeria,DZA,2014,94119,-23
Algeria,DZA,2015,94176,57
Algeria,DZA,2016,94220,44
Algeria,DZA,2017,94248,28
Algeria,DZA,2018,94341,93
Algeria,DZA,2019,98599,4258
Algeria,DZA,2020,97651,-948
Algeria,DZA,2021,97890,239
Arab World,ARB,2010,6801874,-153138
Arab World,ARB,2011,6657568,-144306
Arab World,ARB,2012,6638833,-18735
Arab World,ARB,2013,7794715,1155882
Arab World,ARB,2014,8374963,580248
Arab World,ARB,2015,8279319,-95644
Arab World,ARB,2016,8440080,160761
Arab World,ARB,2017,9061053,620973
Arab World,ARB,2018,9332913,271860
Arab World,ARB,2019,9349348,16435
Arab World,ARB,2020,9282118,-67230
Arab World,ARB,2021,9373696,91578
Bahrain,BHR,2010,165,26
Bahrain,BHR,2011,199,34
Bahrain,BHR,2012,289,90
Bahrain,BHR,2013,294,5
Bahrain,BHR,2014,310,16
Bahrain,BHR,2015,246,-64
Bahrain,BHR,2016,270,24
Bahrain,BHR,2017,255,-15
Bahrain,BHR,2018,262,7
Bahrain,BHR,2019,251,-11
Bahrain,BHR,2020,256,5
Bahrain,BHR,2021,256,0
"Egypt, Arab Rep.",EGY,2010,95044,652
"Egypt, Arab Rep.",EGY,2011,95078,34
"Egypt, Arab Rep.",EGY,2012,109923,14845
"Egypt, Arab Rep.",EGY,2013,230070,120147
"Egypt, Arab Rep.",EGY,2014,236085,6015
"Egypt, Arab Rep.",EGY,2015,212492,-23593
"Egypt, Arab Rep.",EGY,2016,213515,1023
"Egypt, Arab Rep.",EGY,2017,232647,19132
"Egypt, Arab Rep.",EGY,2018,246746,14099
"Egypt, Arab Rep.",EGY,2019,258391,11645
"Egypt, Arab Rep.",EGY,2020,272826,14435
"Egypt, Arab Rep.",EGY,2021,280686,7860
Iraq,IRQ,2010,34647,-566
Iraq,IRQ,2011,35184,537
Iraq,IRQ,2012,98818,63634
Iraq,IRQ,2013,246294,147476
Iraq,IRQ,2014,271137,24843
