Country,Year,Origin,Asylum
Algeria,2010,6665,94141
Algeria,2011,6093,94145
Algeria,2012,5657,94130
Algeria,2013,3643,94142
Algeria,2014,3509,94119
Algeria,2015,3470,94176
Algeria,2016,3705,94220
Algeria,2017,4021,94248
Algeria,2018,4181,94341
Algeria,2019,4514,98599
Algeria,2020,4571,97651
Algeria,2021,6003,97890
Arab World,2010,3034184,6801874
Arab World,2011,3205236,6657568
Arab World,2012,3358916,6638833
Arab World,2013,4804187,7794715
Arab World,2014,6199852,8374963
Arab World,2015,7077036,8279319
Arab World,2016,7703238,8440080
Arab World,2017,8568734,9061053
Arab World,2018,8933132,9332913
Arab World,2019,8827545,9349348
Arab World,2020,8876924,9282118
Arab World,2021,9053222,9373696
Bahrain,2010,81,165
Bahrain,2011,213,199
Bahrain,2012,294,289
Bahrain,2013,274,294
Bahrain,2014,344,310
Bahrain,2015,422,246
Bahrain,2016,461,270
Bahrain,2017,497,255
Bahrain,2018,540,262
Bahrain,2019,557,251
Bahrain,2020,534,256
Bahrain,2021,416,256
"Egypt, Arab Rep.",2010,6903,95044
"Egypt, Arab Rep.",2011,7922,95078
"Egypt, Arab Rep.",2012,10014,109923
"Egypt, Arab Rep.",2013,12804,230070
"Egypt, Arab Rep.",2014,15899,236085
"Egypt, Arab Rep.",2015,17929,212492
"Egypt, Arab Rep.",2016,19792,213515
"Egypt, Arab Rep.",2017,22106,232647
"Egypt, Arab Rep.",2018,24850,246746
"Egypt, Arab Rep.",2019,27416,258391
"Egypt, Arab Rep.",2020,26553,272826
"Egypt, Arab Rep.",2021,27498,280686
Iraq,2010,1683576,34647
Iraq,2011,1428306,35184
Iraq,2012,746204,98818
Iraq,2013,401461,246294
Iraq,2014,369960,271137
Iraq,2015,264086,277702
Iraq,2016,316056,261863
Iraq,2017,362536,277668
Iraq,2018,372332,283018
Iraq,2019,336274,273986
Iraq,2020,333200,270377
Iraq,2021,343897,280072
Israel,2010,1290,25462
Israel,2011,1323,41221
Israel,2012,1326,48490
Israel,2013,1026,48182
Israel,2014,967,39698
Israel,2015,787,32929
Israel,2016,487,30529
Israel,2017,469,25657
Israel,2018,492,18554
Israel,2019,452,16107
Israel,2020,373,1843
Israel,2021,453,1191
Jordan,2010,2248,2393339
Jordan,2011,2242,2430580
Jordan,2012,2363,2337341
Jordan,2013,1622,2712877
Jordan,2014,1711,2771492
Jordan,2015,1836,2808343
Jordan,2016,1919,2860679
Jordan,2017,2119,2897751
Jordan,2018,2430,2957877
Jordan,2019,2308,2966079
Jordan,2020,2486,3009472
Jordan,2021,2981,3047612
Kuwait,2010,986,185
Kuwait,2011,1112,336
Kuwait,2012,1189,676
Kuwait,2013,971,633
Kuwait,2014,974,611
Kuwait,2015,1076,736
Kuwait,2016,1013,935
Kuwait,2017,1097,613
Kuwait,2018,1251,671
Kuwait,2019,1300,686
Kuwait,2020,1422,732
Kuwait,2021,1702,720
Lebanon,2010,15864,438123
Lebanon,2011,15004,445125
Lebanon,2012,15100,575456
Lebanon,2013,3809,1303867
Lebanon,2014,4262,1606698
Lebanon,2015,4353,1529213
Lebanon,2016,4719,1476623
Lebanon,2017,5301,1468431
Lebanon,2018,5620,1424728
Lebanon,2019,5647,1392174
Lebanon,2020,5495,1349925
Lebanon,2021,6061,1328541
Libya,2010,2297,7922
Libya,2011,4372,10129
Libya,2012,5233,7065
Libya,2013,3298,25561
Libya,2014,4187,27964
Libya,2015,6077,9305
Libya,2016,8831,9311
Libya,2017,11205,9352
Libya,2018,13868,8792
Libya,2019,16033,4730
Libya,2020,17523,4149
Libya,2021,19090,3141
Mauritania,2010,37721,26709
Mauritania,2011,39919,26535
Mauritania,2012,33747,80500
Mauritania,2013,34239,92766
Mauritania,2014,34103,75628
Mauritania,2015,34656,77390
Mauritania,2016,36263,74146
Mauritania,2017,36525,77424
Mauritania,2018,37050,83183
Mauritania,2019,37423,84900
Mauritania,2020,37931,93607
Mauritania,2021,39279,101942
Middle East & North Africa,2010,1908772,7699894
Middle East & North Africa,2011,1661549,7424160
Middle East & North Africa,2012,1696340,7328809
Middle East & North Africa,2013,3074835,8455109
Middle East & North Africa,2014,4475952,9046603
Middle East & North Africa,2015,5377343,8903648
Middle East & North Africa,2016,6098281,8950801
Middle East & North Africa,2017,6969775,9075560
Middle East & North Africa,2018,7351472,9161280
Middle East & North Africa,2019,7282543,9195527
Middle East & North Africa,2020,7373462,8948039
Middle East & North Africa,2021,7553754,8962874
Middle East & North Africa (IDA & IBRD countries),2010,1811850,5824925
Middle East & North Africa (IDA & IBRD countries),2011,1563387,5478980
Middle East & North Africa (IDA & IBRD countries),2012,1597034,5325147
Middle East & North Africa (IDA & IBRD countries),2013,2975830,6400180
Middle East & North Africa (IDA & IBRD countries),2014,4375712,6947533
Middle East & North Africa (IDA & IBRD countries),2015,5276211,6757522
Middle East & North Africa (IDA & IBRD countries),2016,5997426,6751336
