Country,Year,Origin,Asylum
Algeria,2010,6665,94141
Algeria,2011,6093,94145
Algeria,2012,5657,94130
Algeria,2013,3643,94142
Algeria,2014,3509,94119
Algeria,2015,3470,94176
Algeria,2016,3705,94220
Algeria,2017,4021,94248
Algeria,2018,4181,94341
Algeria,2019,4514,98599
Algeria,2020,4571,97651
Egypt,2021,6003,97890
Egypt,2010,6903,95044
Egypt,2011,7922,95078
Egypt,2012,10014,109923
Egypt,2013,12804,230070
Egypt,2014,15899,236085
Egypt,2015,17929,212492
Egypt,2016,19792,213515
Egypt,2017,22106,232647
Egypt,2018,24850,246746
Egypt,2019,27416,258391
Egypt,2020,26553,272826
Egypt,2021,27498,280686
Iraq,2010,1683576,34647
Iraq,2011,1428306,35184
Iraq,2012,746204,98818
Iraq,2013,401461,246294
Iraq,2014,369960,271137
Iraq,2015,264086,277702
Iraq,2016,316056,261863
Iraq,2017,362536,277668
Iraq,2018,372332,283018
Iraq,2019,336274,273986
Iraq,2020,333200,270377
Iraq,2021,343897,280072
Jordan,2010,2248,2393339
Jordan,2011,2242,2430580
Jordan,2012,2363,2337341
Jordan,2013,1622,2712877
Jordan,2014,1711,2771492
Jordan,2015,1836,2808343
Jordan,2016,1919,2860679
Jordan,2017,2119,2897751
Jordan,2018,2430,2957877
Jordan,2019,2308,2966079
Jordan,2020,2486,3009472
Jordan,2021,2981,3047612
Lebanon,2010,15864,438123
Lebanon,2011,15004,445125
Lebanon,2012,15100,575456
Lebanon,2013,3809,1303867
Lebanon,2014,4262,1606698
Lebanon,2015,4353,1529213
Lebanon,2016,4719,1476623
Lebanon,2017,5301,1468431
Lebanon,2018,5620,1424728
Lebanon,2019,5647,1392174
Lebanon,2020,5495,1349925
Lebanon,2021,6061,1328541
Libya,2010,2297,7922
Libya,2011,4372,10129
Libya,2012,5233,7065
Libya,2013,3298,25561
Libya,2014,4187,27964
Libya,2015,6077,9305
Libya,2016,8831,9311
Libya,2017,11205,9352
Libya,2018,13868,8792
Libya,2019,16033,4730
Libya,2020,17523,4149
Libya,2021,19090,3141
Morocco,2010,2276,798
Morocco,2011,2305,736
Morocco,2012,2394,745
Morocco,2013,1290,1458
Morocco,2014,1523,1205
Morocco,2015,1760,3899
Morocco,2016,2240,4762
Morocco,2017,3089,4703
Morocco,2018,3873,5932
Morocco,2019,4642,6642
Morocco,2020,4467,6505
Morocco,2021,5385,7272
Palestine,2010,93312,1841769
Palestine,2011,94141,1895043
Palestine,2012,94916,1944544
Palestine,2013,96035,1994493
Palestine,2014,97207,2051096
Palestine,2015,98013,2104001
Palestine,2016,97794,2158274
Palestine,2017,99630,2214783
Palestine,2018,100728,2267747
Palestine,2019,96253,2319073
Palestine,2020,100153,2348243
Palestine,2021,103581,2400208
Saudi Arabia,2010,659,578
Saudi Arabia,2011,733,595
Saudi Arabia,2012,811,575
Saudi Arabia,2013,575,557
Saudi Arabia,2014,616,559
Saudi Arabia,2015,686,122
Saudi Arabia,2016,937,136
Saudi Arabia,2017,1219,153
Saudi Arabia,2018,1492,263
Saudi Arabia,2019,1721,315
Saudi Arabia,2020,2003,330
Saudi Arabia,2021,2167,333
Syria,2010,18451,1482272
Syria,2011,19931,1242381
Syria,2012,729011,975685
Syria,2013,2468323,666541
Syria,2014,3887490,677751
Syria,2015,4873236,555766
Syria,2016,5524511,562821
Syria,2017,6310498,571298
Syria,2018,6654374,578956
Syria,2019,6615249,578525
Syria,2020,6702910,584034
Syria,2021,6848845,589542
Tunisia,2010,2159,86
Tunisia,2011,1930,4085
Tunisia,2012,1918,1433
Tunisia,2013,1359,727
Tunisia,2014,1476,895
Tunisia,2015,1554,659
Tunisia,2016,1687,646
Tunisia,2017,1826,726
Tunisia,2018,1985,1061
Tunisia,2019,2068,1732
Tunisia,2020,1636,2580
Tunisia,2021,2201,3186
Yemen,2010,2070,190088
Yemen,2011,2321,214736
Yemen,2012,2582,237176
Yemen,2013,2413,241281
Yemen,2014,2623,257637
Yemen,2015,15901,267163
Yemen,2016,18427,269778
Yemen,2017,23555,270913
Yemen,2018,31145,264359
Yemen,2019,36522,268503
Yemen,2020,32433,166906
Yemen,2021,37611,89467
