Country Name,Country Code,Year,Total,Change
Algeria,DZA,2010,6665,-1503
Algeria,DZA,2011,6093,-572
Algeria,DZA,2012,5657,-436
Algeria,DZA,2013,3643,-2014
Algeria,DZA,2014,3509,-134
Algeria,DZA,2015,3470,-39
Algeria,DZA,2016,3705,235
Algeria,DZA,2017,4021,316
Algeria,DZA,2018,4181,160
Algeria,DZA,2019,4514,333
Algeria,DZA,2020,4571,57
Algeria,DZA,2021,6003,1432
Arab World,ARB,2010,3034184,5063
Arab World,ARB,2011,3205236,171052
Arab World,ARB,2012,3358916,153680
Arab World,ARB,2013,4804187,1445271
Arab World,ARB,2014,6199852,1395665
Arab World,ARB,2015,7077036,877184
Arab World,ARB,2016,7703238,626202
Arab World,ARB,2017,8568734,865496
Arab World,ARB,2018,8933132,364398
Arab World,ARB,2019,8827545,-105587
Arab World,ARB,2020,8876924,49379
Arab World,ARB,2021,9053222,176298
Bahrain,BHR,2010,81,9
Bahrain,BHR,2011,213,132
Bahrain,BHR,2012,294,81
Bahrain,BHR,2013,274,-20
Bahrain,BHR,2014,344,70
Bahrain,BHR,2015,422,78
Bahrain,BHR,2016,461,39
Bahrain,BHR,2017,497,36
Bahrain,BHR,2018,540,43
Bahrain,BHR,2019,557,17
Bahrain,BHR,2020,534,-23
Bahrain,BHR,2021,416,-118
"Egypt, Arab Rep.",EGY,2010,6903,-80
"Egypt, Arab Rep.",EGY,2011,7922,1019
"Egypt, Arab Rep.",EGY,2012,10014,2092
"Egypt, Arab Rep.",EGY,2013,12804,2790
"Egypt, Arab Rep.",EGY,2014,15899,3095
"Egypt, Arab Rep.",EGY,2015,17929,2030
"Egypt, Arab Rep.",EGY,2016,19792,1863
"Egypt, Arab Rep.",EGY,2017,22106,2314
"Egypt, Arab Rep.",EGY,2018,24850,2744
"Egypt, Arab Rep.",EGY,2019,27416,2566
"Egypt, Arab Rep.",EGY,2020,26553,-863
"Egypt, Arab Rep.",EGY,2021,27498,945
Iraq,IRQ,2010,1683576,-101639
