"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","153,665,654","±161,649"
"    16 to 19 years","5,239,512","±17,901"
"    20 to 24 years","14,466,294","±25,856"
"    25 to 44 years","67,205,929","±70,944"
"    45 to 54 years","31,746,428","±43,263"
"    55 to 59 years","14,957,301","±30,345"
"    60 to 64 years","11,021,447","±24,787"
"    65 years and over","9,028,743","±23,891"
"    Car, truck, or van - drove alone:","115,127,720","±133,106"
"        16 to 19 years","3,438,571","±14,584"
"        20 to 24 years","10,417,808","±26,516"
"        25 to 44 years","49,967,578","±56,799"
"        45 to 54 years","24,336,142","±40,747"
"        55 to 59 years","11,617,392","±28,003"
"        60 to 64 years","8,588,149","±22,499"
"        65 years and over","6,762,080","±21,174"
"    Car, truck, or van - carpooled:","13,605,122","±67,029"
"        16 to 19 years","837,299","±7,378"
"        20 to 24 years","1,614,683","±12,721"
"        25 to 44 years","6,289,422","±38,284"
"        45 to 54 years","2,586,643","±20,279"
"        55 to 59 years","1,046,425","±8,375"
"        60 to 64 years","690,670","±6,571"
"        65 years and over","539,980","±6,227"
"    Public transportation (excluding taxicab):","7,044,886","±24,343"
"        16 to 19 years","191,589","±3,340"
"        20 to 24 years","757,739","±6,828"
"        25 to 44 years","3,543,859","±15,997"
"        45 to 54 years","1,260,527","±8,500"
"        55 to 59 years","576,507","±6,161"
"        60 to 64 years","411,916","±4,711"
"        65 years and over","302,749","±4,667"
"    Walked:","3,954,692","±17,264"
"        16 to 19 years","433,507","±5,067"
"        20 to 24 years","783,382","±7,478"
"        25 to 44 years","1,519,016","±11,145"
"        45 to 54 years","528,260","±6,250"
"        55 to 59 years","263,386","±4,162"
"        60 to 64 years","211,821","±3,596"
"        65 years and over","215,320","±3,648"
"    Taxicab, motorcycle, bicycle, or other means:","2,780,139","±17,056"
"        16 to 19 years","161,477","±3,471"
"        20 to 24 years","335,841","±5,880"
"        25 to 44 years","1,265,285","±11,560"
"        45 to 54 years","492,723","±5,681"
"        55 to 59 years","229,111","±4,723"
"        60 to 64 years","159,092","±3,184"
"        65 years and over","136,610","±3,233"
"    Worked from home","11,153,095","±40,724"
"        16 to 19 years","177,069","±3,722"
"        20 to 24 years","556,841","±7,589"
"        25 to 44 years","4,620,769","±23,673"
"        45 to 54 years","2,542,133","±16,350"
"        55 to 59 years","1,224,480","±11,194"
"        60 to 64 years","959,799","±8,295"
"        65 years and over","1,072,004","±9,617"
