"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","142,512,559","±183,654"
"    Less than 5 minutes","4,015,943","±17,646"
"    5 to 9 minutes","13,513,625","±30,917"
"    10 to 14 minutes","18,838,076","±40,581"
"    15 to 19 minutes","21,619,878","±47,020"
"    20 to 24 minutes","20,372,651","±46,998"
"    25 to 29 minutes","9,365,254","±35,344"
"    30 to 34 minutes","19,586,168","±41,566"
"    35 to 39 minutes","4,444,652","±24,527"
"    40 to 44 minutes","5,697,009","±22,292"
"    45 to 59 minutes","11,874,852","±46,377"
"    60 to 89 minutes","9,053,457","±27,190"
"    90 or more minutes","4,130,994","±22,967"
