"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","142,512,559","±183,654"
"    Less than 5 minutes","4,015,943","±17,646"
"    5 to 9 minutes","13,513,625","±30,917"
"    10 to 14 minutes","18,838,076","±40,581"
"    15 to 19 minutes","21,619,878","±47,020"
"    20 to 24 minutes","20,372,651","±46,998"
"    25 to 29 minutes","9,365,254","±35,344"
"    30 to 34 minutes","19,586,168","±41,566"
"    35 to 39 minutes","4,444,652","±24,527"
"    40 to 44 minutes","5,697,009","±22,292"
"    45 to 59 minutes","11,874,852","±46,377"
"    60 to 89 minutes","9,053,457","±27,190"
"    90 or more minutes","4,130,994","±22,967"
"    Male:","75,760,870","±97,612"
"        Less than 5 minutes","2,109,436","±12,984"
"        5 to 9 minutes","6,543,611","±20,375"
"        10 to 14 minutes","9,332,801","±24,959"
"        15 to 19 minutes","10,977,034","±30,661"
"        20 to 24 minutes","10,605,556","±28,889"
"        25 to 29 minutes","4,912,664","±25,328"
"        30 to 34 minutes","10,791,866","±29,192"
"        35 to 39 minutes","2,431,623","±15,523"
"        40 to 44 minutes","3,175,006","±17,558"
"        45 to 59 minutes","6,757,237","±31,309"
"        60 to 89 minutes","5,468,246","±19,725"
"        90 or more minutes","2,655,790","±15,801"
"    Female:","66,751,689","±92,868"
"        Less than 5 minutes","1,906,507","±11,292"
"        5 to 9 minutes","6,970,014","±19,762"
"        10 to 14 minutes","9,505,275","±25,956"
"        15 to 19 minutes","10,642,844","±29,196"
"        20 to 24 minutes","9,767,095","±26,652"
"        25 to 29 minutes","4,452,590","±19,071"
"        30 to 34 minutes","8,794,302","±24,642"
"        35 to 39 minutes","2,013,029","±14,547"
"        40 to 44 minutes","2,522,003","±12,645"
"        45 to 59 minutes","5,117,615","±22,097"
"        60 to 89 minutes","3,585,211","±15,449"
"        90 or more minutes","1,475,204","±10,709"
